Human_A538-01-L26_good_1	Human_A538-01-L27_good_1	Human_A538-01-L29_good_1	Human_A538-01-L33_good_1	Human_A538-01-L34_good_1	Human_A538-01-L35_good_1	Human_A538-01-L36_good_1	Human_A538-01-L38_good_1	Human_A538-01-L42_good_1	Human_A538-01-L43_good_1	Human_A538-01-L48_good_1	Human_A538-01-L56_good_1	Human_A538-01-L58_good_1	Human_A538-01-L60_good_1
5S_rRNA	5	2	5	3	5	5	6	9	6	7	5	10	14	5
7SK	91	51	108	74	46	116	87	74	43	54	42	42	37	72
A1BG	10	9	9	8	17	13	13	15	5	18	11	5	8	18
A1BG-AS1	36	27	20	12	15	27	50	67	27	17	30	19	19	43
A1CF	14	15	8	33	40	8	21	28	25	49	2	4	7	10
A2M	18899	17619	19941	15726	11194	18559	20790	17241	15926	15157	15680	19627	17904	17596
A2M-AS1	280	373	308	413	289	302	363	343	411	417	180	357	410	321
A2ML1	10	10	10	14	8	29	27	26	11	11	13	12	16	18
A2ML1-AS1	0	0	2	0	0	0	1	0	0	1	0	2	0	1
A2ML1-AS2	1	0	0	0	0	1	0	0	0	0	0	0	0	0
A2MP1	51	44	55	90	34	94	76	73	93	112	42	87	44	89
A3GALT2	5	1	6	4	0	9	9	4	2	0	0	2	2	7
A4GALT	1037	1191	1635	966	1603	894	1119	959	1514	1143	833	724	1566	975
A4GNT	6	3	2	2	1	7	8	5	0	0	2	0	0	6
AAAS	503	482	559	532	366	343	437	399	468	503	434	522	479	362
AACS	328	446	705	447	378	523	363	399	571	525	496	379	863	570
AACSP1	0	1	4	1	3	3	4	8	0	8	0	0	0	1
AADAC	0	0	0	0	3	3	10	3	0	0	2	1	0	0
AADACL2	6	8	14	3	4	24	26	31	9	6	5	8	3	16
AADACL3	9	0	11	1	2	3	1	3	0	4	1	0	1	9
AADACL4	1	2	2	1	0	3	0	4	0	0	0	0	0	0
AADAT	90	95	134	81	88	95	119	130	56	98	68	74	67	81
AAED1	1329	1297	1374	1870	769	839	1040	876	1414	1540	1100	924	1170	724
AAGAB	954	744	959	712	765	614	800	645	796	729	722	711	620	709
AAK1	1244	1333	1285	1401	3108	1659	2395	1705	1833	1857	1283	1035	1193	1083
AAMDC	214	274	170	360	178	168	184	182	282	336	202	214	308	178
AAMP	1214	1291	1469	1305	939	872	1014	841	1198	1000	1182	1336	1390	1119
AANAT	23	20	13	13	12	17	8	20	16	6	35	17	11	12
AAR2	958	844	1057	829	681	768	820	713	804	691	776	827	767	845
AARD	2	3	3	0	3	4	3	9	8	4	0	5	5	1
AARS	1683	1777	1961	2083	1723	1220	1495	1365	1917	2057	1728	1449	2439	1502
AARS2	527	566	545	516	386	348	437	423	438	452	565	500	551	621
AARSD1	42	30	46	40	49	49	33	38	28	24	38	24	45	50
AASDH	526	574	682	650	531	642	737	629	606	618	452	518	575	576
AASDHPPT	1826	1874	1967	2105	1873	1463	1995	1417	1854	2108	1129	1432	1615	1177
AASS	778	1492	1364	1961	1639	1249	1462	1058	1553	2319	856	1186	1551	909
AATF	778	763	925	548	496	568	536	553	611	532	728	591	580	540
AATK	219	201	248	263	92	139	146	172	253	196	366	197	350	336
AATK-AS1	3	8	0	7	0	1	2	5	6	2	0	2	1	2
AB015752.3	14	10	17	11	5	35	7	8	13	12	6	18	2	16
AB019438.66	0	0	0	0	0	1	2	0	0	0	0	0	0	0
AB019440.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019441.29	1	8	6	3	2	14	8	2	6	9	9	6	1	3
ABAT	723	2491	1325	456	1260	633	1399	626	704	1120	371	992	1812	590
ABBA01057584.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC13-48559800H2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
